Category,File Name,Format,Duration (s),Sample Rate,Bit Depth,Channels,Integrated,Max Momentary
Dialogue,y8a01012.wav,wav,2.61,48000,16,1,-17.18,-3.32
Dialogue,y8a01013.wav,wav,3.16,48000,16,1,-19.76,-1.60
Dialogue,y8a01014.wav,wav,4.52,48000,16,1,-18.34,-1.00
Dialogue,y8a01015.wav,wav,6.38,48000,16,1,-20.63,-2.96
Dialogue,y8a01016.wav,wav,2.00,48000,16,1,-16.72,-1.50
Dialogue,y8a01017.wav,wav,3.63,48000,16,1,-16.61,-3.20
Dialogue,y8a01018.wav,wav,4.78,48000,16,1,-18.36,-3.13
Dialogue,y8a01019.wav,wav,4.48,48000,16,1,-17.93,-2.53
Dialogue,y8a01020.wav,wav,6.45,48000,16,1,-19.78,-2.02
Dialogue,y8a01021.wav,wav,3.44,48000,16,1,-18.17,-1.00
Dialogue,y8a01022.wav,wav,3.12,48000,16,1,-17.60,-2.85
Dialogue,y8a01023.wav,wav,2.50,48000,16,1,-16.30,-2.47
Dialogue,y8a01024.wav,wav,3.08,48000,16,1,-20.19,-3.21
Dialogue,y8a01025.wav,wav,6.75,48000,16,1,-19.77,-1.51
Dialogue,y8a01026.wav,wav,4.38,48000,16,1,-19.73,-2.41
Dialogue,y8a01027.wav,wav,3.84,48000,16,1,-17.86,-2.41
Dialogue,y8a01028.wav,wav,5.76,48000,16,1,-19.33,-2.47
Dialogue,y8a01029.wav,wav,4.50,48000,16,1,-20.63,-1.92
Dialogue,y8a01030.wav,wav,3.10,48000,16,1,-17.37,-2.24
Dialogue,y8a01031.wav,wav,5.20,48000,16,1,-19.45,-2.98
Dialogue,y8a01032.wav,wav,4.95,48000,16,1,-18.77,-1.82
Dialogue,y8a01033.wav,wav,6.57,48000,16,1,-20.02,-2.43
Dialogue,y8a01034.wav,wav,2.67,48000,16,1,-17.02,-3.48
Dialogue,y8a01035.wav,wav,6.33,48000,16,1,-19.13,-2.25
Dialogue,y8a01036.wav,wav,4.16,48000,16,1,-19.54,-2.46
Dialogue,y8a01037.wav,wav,2.74,48000,16,1,-19.20,-1.76
Dialogue,y8a01038.wav,wav,5.15,48000,16,1,-18.83,-1.44
Dialogue,y8a01039.wav,wav,4.67,48000,16,1,-18.85,-1.66
Dialogue,y8a01040.wav,wav,2.83,48000,16,1,-20.07,-1.26
Dialogue,y8a01041.wav,wav,3.48,48000,16,1,-17.04,-1.52
Dialogue,y8a01042.wav,wav,4.64,48000,16,1,-20.76,-2.44
Dialogue,y8a01043.wav,wav,3.75,48000,16,1,-22.32,-3.14
Dialogue,y8a01044.wav,wav,2.16,48000,16,1,-19.23,-3.49
Dialogue,y8a01045.wav,wav,4.89,48000,16,1,-18.46,-1.52
Dialogue,y8a01046.wav,wav,5.00,48000,16,1,-20.51,-2.55
Dialogue,y8a01047.wav,wav,5.76,48000,16,1,-19.30,-3.21
Dialogue,y8a01048.wav,wav,4.93,48000,16,1,-17.90,-2.96
Dialogue,y8a01049.wav,wav,5.30,48000,16,1,-18.37,-2.39
Dialogue,y8a01050.wav,wav,2.00,48000,16,1,-18.66,-2.36
Dialogue,y8a01051.wav,wav,4.80,48000,16,1,-18.49,-2.70
Dialogue,y8a01052.wav,wav,4.63,48000,16,1,-18.72,-1.00
Dialogue,y8a01053.wav,wav,4.48,48000,16,1,-18.78,-2.19
Dialogue,y8a01054.wav,wav,3.35,48000,16,1,-19.67,-3.20
Dialogue,y8a01055.wav,wav,2.12,48000,16,1,-19.55,-1.42
Dialogue,y8a01056.wav,wav,6.24,48000,16,1,-19.02,-1.73
Dialogue,y8a01057.wav,wav,7.39,48000,16,1,-19.21,-1.93
Dialogue,y8a01058.wav,wav,1.61,48000,16,1,-14.58,-1.00
Dialogue,y8a01059.wav,wav,5.88,48000,16,1,-19.85,-3.78
Dialogue,y8a01060.wav,wav,2.39,48000,16,1,-18.36,-2.33
Dialogue,y8a01061.wav,wav,2.94,48000,16,1,-17.98,-2.69
Dialogue,y8a01062.wav,wav,3.49,48000,16,1,-18.60,-2.09
Dialogue,y8a01063.wav,wav,4.89,48000,16,1,-18.45,-2.49
Dialogue,y8a01064.wav,wav,4.85,48000,16,1,-19.43,-2.09
Dialogue,y8a01065.wav,wav,6.08,48000,16,1,-19.41,-2.83
Dialogue,y8a01066.wav,wav,2.91,48000,16,1,-19.40,-1.58
Dialogue,y8a01067.wav,wav,3.54,48000,16,1,-18.02,-1.00
Dialogue,y8a01068.wav,wav,3.70,48000,16,1,-21.00,-1.95
Dialogue,y8a01069.wav,wav,4.14,48000,16,1,-18.90,-2.71
Dialogue,y8a01070.wav,wav,2.17,48000,16,1,-18.35,-2.50
Dialogue,y8a01071.wav,wav,4.86,48000,16,1,-20.93,-2.91
Dialogue,y8a01072.wav,wav,4.65,48000,16,1,-19.29,-2.40
Dialogue,y8a01073.wav,wav,2.90,48000,16,1,-18.41,-2.15
Dialogue,y8a01074.wav,wav,3.41,48000,16,1,-18.93,-1.56
Dialogue,y8a01075.wav,wav,6.59,48000,16,1,-20.41,-2.55
Dialogue,y8a01076.wav,wav,3.79,48000,16,1,-18.94,-3.38
Dialogue,y8a01077.wav,wav,3.93,48000,16,1,-18.74,-2.72
Dialogue,y8a01078.wav,wav,3.81,48000,16,1,-18.86,-2.14
Dialogue,y8a01079.wav,wav,2.99,48000,16,1,-17.13,-3.17
Dialogue,y8a01080.wav,wav,3.53,48000,16,1,-19.97,-2.36
Dialogue,y8a01081.wav,wav,3.65,48000,16,1,-18.47,-1.99
Dialogue,y8a01082.wav,wav,4.49,48000,16,1,-21.63,-1.00
Dialogue,y8a01083.wav,wav,1.24,48000,16,1,-17.67,-1.79
Dialogue,y8a01084.wav,wav,5.35,48000,16,1,-19.08,-1.53
Dialogue,y8a01085.wav,wav,6.95,48000,16,1,-19.43,-2.16
Dialogue,y8a01086.wav,wav,1.36,48000,16,1,-16.68,-3.04
Dialogue,y8a01087.wav,wav,5.79,48000,16,1,-18.63,-2.69
Dialogue,y8a01088.wav,wav,2.68,48000,16,1,-18.58,-1.57
Dialogue,y8a01089.wav,wav,4.46,48000,16,1,-21.43,-3.09
Dialogue,y8a01090.wav,wav,5.31,48000,16,1,-18.63,-1.70
Dialogue,y8a01091.wav,wav,4.19,48000,16,1,-18.02,-2.89
Dialogue,y8a01092.wav,wav,4.97,48000,16,1,-18.99,-1.85
Dialogue,y8a01093.wav,wav,3.18,48000,16,1,-18.09,-1.63
Dialogue,y8a01094.wav,wav,5.10,48000,16,1,-18.80,-1.01
Dialogue,y8a01095.wav,wav,6.09,48000,16,1,-18.06,-2.27
Dialogue,y8a01096.wav,wav,1.72,48000,16,1,-15.18,-1.96
