Category,File Name,Format,Duration (s),Sample Rate,Bit Depth,Channels,Integrated,Max Momentary
Dialogue,ad00at00_e.wav,wav,0.32,22050,16,1,-13.94,-0.48
Dialogue,ad00at01_e.wav,wav,0.23,22050,16,1,-14.00,-1.11
Dialogue,ad00at02_e.wav,wav,0.47,22050,16,1,-10.92,-0.53
Dialogue,ad00at03_e.wav,wav,0.55,22050,16,1,-14.29,-1.31
Dialogue,ad00at04_e.wav,wav,0.70,22050,16,1,-15.25,-0.49
Dialogue,ad00at05_e.wav,wav,0.33,22050,16,1,-15.90,-2.00
Dialogue,ad00co00_e.wav,wav,0.57,22050,16,1,-11.66,-0.49
Dialogue,ad00co01_e.wav,wav,0.60,22050,16,1,-12.20,-0.49
Dialogue,ad00co02_e.wav,wav,0.57,22050,16,1,-14.63,-0.79
Dialogue,ad00da00_e.wav,wav,0.29,22050,16,1,-15.69,-1.18
Dialogue,ad00da01_e.wav,wav,0.62,22050,16,1,-16.53,-1.17
Dialogue,ad00da02_e.wav,wav,0.52,22050,16,1,-11.57,-0.51
Dialogue,ad00da03_e.wav,wav,0.57,22050,16,1,-13.45,-0.50
Dialogue,ad00da04_e.wav,wav,0.90,22050,16,1,-13.93,-0.83
Dialogue,ad00da05_e.wav,wav,1.93,22050,16,1,-21.73,-0.92
Dialogue,ad00re00_e.wav,wav,0.72,22050,16,1,-17.83,-0.82
Dialogue,ad00re01_e.wav,wav,2.68,22050,16,1,-17.82,-0.83
Dialogue,ad00re02_e.wav,wav,0.88,22050,16,1,-12.27,-0.62
Dialogue,ad00re03_e.wav,wav,1.09,22050,16,1,-15.00,-0.49
Dialogue,al0201ma_e.wav,wav,2.88,44100,16,1,-25.75,-5.96
Dialogue,al0202ja_e.wav,wav,6.90,44100,16,1,-22.80,-1.81
Dialogue,al0202ja.wav,wav,6.90,44100,16,1,-27.61,-8.05
Dialogue,al0203ja_e.wav,wav,2.64,44100,16,1,-23.79,-5.95
Dialogue,al0203ja.wav,wav,2.64,44100,16,1,-27.45,-8.45
Dialogue,al0204ia_e.wav,wav,5.84,44100,16,1,-18.98,-4.11
Dialogue,al0204ia.wav,wav,5.84,44100,16,1,-27.94,-8.85
Dialogue,al0205ja_e.wav,wav,4.36,44100,16,1,-26.11,-6.88
Dialogue,al0205ja.wav,wav,4.36,44100,16,1,-28.32,-8.53
Dialogue,al0206ma_e.wav,wav,5.28,44100,16,1,-22.93,-5.52
Dialogue,al0207ja_e.wav,wav,6.23,44100,16,1,-21.02,-4.22
Dialogue,al0207ja.wav,wav,6.23,44100,16,1,-27.86,-8.71
Dialogue,al0208ja_e.wav,wav,4.90,44100,16,1,-22.41,-3.73
Dialogue,al0208ja.wav,wav,4.90,44100,16,1,-28.67,-7.53
Dialogue,al0209ja_e.wav,wav,7.98,44100,16,1,-24.01,-1.18
Dialogue,al0210ma_e.wav,wav,8.58,44100,16,1,-22.65,-4.82
Dialogue,al0211ja_e.wav,wav,6.21,44100,16,1,-24.26,-4.72
Dialogue,al0212ja_e.wav,wav,4.86,44100,16,1,-22.17,-4.24
Dialogue,al0213ma_e.wav,wav,9.65,44100,16,1,-22.20,-4.01
Dialogue,al0214ja_e.wav,wav,7.87,44100,16,1,-22.19,-2.25
Dialogue,al02a1ia_e.wav,wav,2.94,44100,16,1,-19.76,-3.17
Dialogue,al0301sr_e.wav,wav,1.39,44100,16,1,-37.44,-13.42
Dialogue,al0302js_e.wav,wav,3.21,44100,16,1,-25.90,-7.10
Dialogue,al0303ja_e.wav,wav,5.31,44100,16,1,-23.64,-3.87
Dialogue,al0304ja_e.wav,wav,7.61,44100,16,1,-21.87,-4.22
Dialogue,al0305ja_e.wav,wav,4.61,44100,16,1,-23.81,-2.77
Dialogue,al0306sr_e.wav,wav,2.18,44100,16,1,-19.50,-2.72
Dialogue,al0309ja_e.wav,wav,4.98,44100,16,1,-20.54,-2.76
Dialogue,al0801go_e.wav,wav,2.52,44100,16,1,-19.61,-2.87
Dialogue,al0802ad_e.wav,wav,4.22,44100,16,1,-19.88,-4.08
Dialogue,al0803ge_e.wav,wav,4.25,44100,16,1,-14.66,-2.28
Dialogue,al0804ge_e.wav,wav,3.31,44100,16,1,-17.51,-4.00
Dialogue,al0805ad_e.wav,wav,4.77,44100,16,1,-26.58,-4.37
Dialogue,al0806sr_e.wav,wav,3.00,44100,16,1,-24.15,-4.64
Dialogue,al0807ad_e.wav,wav,6.81,44100,16,1,-22.70,-2.70
Dialogue,al0808ad_e.wav,wav,2.67,44100,16,1,-21.57,-2.75
Dialogue,al0809ad_e.wav,wav,1.98,44100,16,1,-25.46,-4.83
Dialogue,al0810ad_e.wav,wav,5.06,44100,16,1,-21.72,-2.92
Dialogue,al0811ge_e.wav,wav,13.09,44100,16,1,-18.06,-2.04
Dialogue,al0812do_e.wav,wav,2.18,44100,16,1,-22.27,-2.21
Dialogue,al0814ad_e.wav,wav,4.56,44100,16,1,-19.88,-3.60
Dialogue,al0816ad_e.wav,wav,1.37,44100,16,1,-19.31,-3.25
Dialogue,al0817ge_e.wav,wav,1.82,44100,16,1,-21.14,-4.38
Dialogue,al0818ad_e.wav,wav,5.02,44100,16,1,-22.55,-4.32
Dialogue,al0819go_e.wav,wav,2.51,44100,16,1,-23.07,-4.26
Dialogue,al081age_e.wav,wav,2.87,44100,16,1,-16.47,-2.26
Dialogue,al081bge_e.wav,wav,7.11,44100,16,1,-14.68,-1.16
Dialogue,al081cge_e.wav,wav,7.77,44100,16,1,-17.55,-1.14
Dialogue,al081dge_e.wav,wav,7.23,44100,16,1,-17.88,-3.14
Dialogue,al081ege_e.wav,wav,4.94,44100,16,1,-17.68,-1.71
Dialogue,al081fge_e.wav,wav,2.07,44100,16,1,-14.37,-0.50
Dialogue,al081gge_e.wav,wav,6.16,44100,16,1,-18.22,-1.73
Dialogue,al081hge_e.wav,wav,3.15,44100,16,1,-20.91,-1.85
Dialogue,al0820ad_e.wav,wav,5.81,44100,16,1,-23.31,-3.16
Dialogue,al0821ad_e.wav,wav,6.19,44100,16,1,-22.96,-1.73
Dialogue,al0822do_e.wav,wav,2.85,44100,16,1,-21.72,-2.02
Dialogue,al0823go_e.wav,wav,2.11,44100,16,1,-24.52,-5.78
Dialogue,al0824sr_e.wav,wav,3.56,44100,16,1,-20.16,-4.65
Dialogue,al0825ad_e.wav,wav,0.83,44100,16,1,-16.90,-2.22
Dialogue,al0826ad_e.wav,wav,2.63,44100,16,1,-16.99,-3.13
Dialogue,al08a2ad_e.wav,wav,4.15,44100,16,1,-30.09,-3.77
Dialogue,al1001ja_e.wav,wav,5.79,44100,16,1,-20.86,-4.69
Dialogue,al1002ja_e.wav,wav,6.73,44100,16,1,-19.43,-4.18
Dialogue,al1003ad_e.wav,wav,2.37,44100,16,1,-18.62,-3.52
Dialogue,al1004js_e.wav,wav,3.05,44100,16,1,-22.12,-4.70
Dialogue,al1006ad_e.wav,wav,3.53,44100,16,1,-24.42,-3.89
Dialogue,al1012ge_e.wav,wav,4.25,44100,16,1,-18.62,-1.34
Dialogue,al1013ja_e.wav,wav,6.26,44100,16,1,-20.30,-4.10
Dialogue,al1014ge_e.wav,wav,2.58,44100,16,1,-19.59,-3.08
Dialogue,al1015js_e.wav,wav,2.36,44100,16,1,-18.14,-2.87
Dialogue,al1016ad_e.wav,wav,1.47,44100,16,1,-21.66,-2.82
Dialogue,al1017ja_e.wav,wav,5.90,44100,16,1,-21.98,-3.73
Dialogue,al1101ad_e.wav,wav,1.95,44100,16,1,-17.48,-4.02
Dialogue,al1102ja_e.wav,wav,5.16,44100,16,1,-20.41,-1.09
Dialogue,al1103ad_e.wav,wav,2.92,44100,16,1,-17.91,-4.07
Dialogue,al11a1sr_e.wav,wav,1.62,44100,16,1,-34.39,-17.87
Dialogue,al11a2ad_e.wav,wav,1.47,44100,16,1,-32.14,-13.22
Dialogue,al1304ja_e.wav,wav,4.72,44100,16,1,-20.56,-2.41
Dialogue,al1305ja_e.wav,wav,3.48,44100,16,1,-20.30,-0.42
Dialogue,al1401ma_e.wav,wav,3.27,44100,16,1,-23.86,-5.37
Dialogue,al1402ja_e.wav,wav,4.42,44100,16,1,-25.11,-6.89
Dialogue,al1403ja_e.wav,wav,5.19,44100,16,1,-22.35,-3.35
Dialogue,al1404ja_e.wav,wav,4.18,44100,16,1,-20.20,-2.62
Dialogue,al1405sr_e.wav,wav,2.79,44100,16,1,-21.63,-5.23
Dialogue,al1409ad_e.wav,wav,3.18,44100,16,1,-17.54,-3.17
Dialogue,al1410ja_e.wav,wav,1.72,44100,16,1,-25.76,-5.59
Dialogue,al1411ja_e.wav,wav,7.71,44100,16,1,-21.30,-1.11
Dialogue,al1412go_e.wav,wav,1.75,44100,16,1,-24.54,-7.33
Dialogue,al1413do_e.wav,wav,2.12,44100,16,1,-19.27,-3.04
Dialogue,al1414ja_e.wav,wav,5.34,44100,16,1,-20.38,-2.74
Dialogue,al1415ja_e.wav,wav,3.11,44100,16,1,-18.14,-2.35
Dialogue,al1416ja_e.wav,wav,3.27,44100,16,1,-18.27,-2.48
Dialogue,al1417ad_e.wav,wav,3.54,44100,16,1,-19.39,-2.02
Dialogue,al1418ge_e.wav,wav,5.30,44100,16,1,-17.17,-0.66
Dialogue,al1501ja_e.wav,wav,4.28,44100,16,1,-18.62,-1.09
Dialogue,al1610ja_e.wav,wav,4.57,44100,16,1,-20.22,-4.32
Dialogue,al1611ja_e.wav,wav,7.07,44100,16,1,-17.78,-2.54
Dialogue,al16a5ja_e.wav,wav,5.66,44100,16,1,-18.46,-0.47
Dialogue,al1701sr_e.wav,wav,3.74,44100,16,1,-18.31,-4.08
Dialogue,al1702ja_e.wav,wav,6.00,44100,16,1,-14.45,-0.49
Dialogue,al18a1js_e.wav,wav,1.44,44100,16,1,-26.38,-5.73
Dialogue,al1901ad_e.wav,wav,3.03,44100,16,1,-17.83,-2.20
Dialogue,al1902go_e.wav,wav,3.45,44100,16,1,-17.32,-3.08
Dialogue,al1903ad_e.wav,wav,2.09,44100,16,1,-15.55,-4.15
Dialogue,al1904ge_e.wav,wav,4.27,44100,16,1,-16.07,-1.18
Dialogue,al1905ge_e.wav,wav,4.90,44100,16,1,-18.21,-2.16
Dialogue,al1906ad_e.wav,wav,1.75,44100,16,1,-31.03,-14.64
Dialogue,al1907ad_e.wav,wav,2.57,44100,16,1,-24.21,-3.74
Dialogue,al1908ad_e.wav,wav,2.62,44100,16,1,-19.61,-4.17
Dialogue,al1909ge_e.wav,wav,1.68,44100,16,1,-21.19,-1.81
Dialogue,al1910ad_e.wav,wav,6.62,44100,16,1,-21.52,-2.80
Dialogue,al1911ad_e.wav,wav,7.36,44100,16,1,-22.50,-3.06
Dialogue,al1912ge_e.wav,wav,6.72,44100,16,1,-18.81,-1.06
Dialogue,al1913ge_e.wav,wav,7.88,44100,16,1,-18.68,-1.66
Dialogue,al1914ge_e.wav,wav,3.80,44100,16,1,-18.92,-0.49
Dialogue,al1915ad_e.wav,wav,1.90,44100,16,1,-32.94,-10.60
Dialogue,al1916ge_e.wav,wav,2.47,44100,16,1,-19.34,-1.81
Dialogue,al19a1ad_e.wav,wav,1.57,44100,16,1,-31.37,-10.63
Dialogue,al19a2ge_e.wav,wav,4.20,44100,16,1,-15.84,-2.37
Dialogue,al2001ha_e.wav,wav,9.10,44100,16,1,-23.06,-1.93
Dialogue,al2002rk_e.wav,wav,3.78,44100,16,1,-21.74,-2.95
Dialogue,al2003ma_e.wav,wav,9.98,44100,16,1,-22.85,-4.32
Dialogue,al2004ha_e.wav,wav,9.22,44100,16,1,-21.21,-1.71
Dialogue,al2005rk_e.wav,wav,1.27,44100,16,1,-26.03,-6.61
Dialogue,al2006ma_e.wav,wav,7.62,44100,16,1,-22.14,-5.23
Dialogue,al2007rk_e.wav,wav,1.71,44100,16,1,-18.72,-0.90
Dialogue,al2008ma_e.wav,wav,4.68,44100,16,1,-20.60,-1.50
Dialogue,al2009ho_e.wav,wav,6.02,44100,16,1,-19.56,-1.53
Dialogue,al2010rk_e.wav,wav,4.70,44100,16,1,-22.02,-1.19
