Category,File Name,Format,Duration (s),Sample Rate,Bit Depth,Channels,Integrated,Max Momentary
Sound Effect,se_00087.wav,wav,0.38,22050,16,1,-11.08,-0.29
Sound Effect,se_00088.wav,wav,0.47,22050,16,1,-7.50,0.00
Sound Effect,se_00089.wav,wav,0.39,22050,16,1,-11.73,-0.34
Sound Effect,se_00090.wav,wav,0.37,22050,16,1,-6.85,0.00
Sound Effect,se_00091.wav,wav,0.41,22050,16,1,-4.66,-0.01
Sound Effect,se_00092.wav,wav,0.60,22050,16,1,-12.17,-0.12
Sound Effect,se_00093.wav,wav,0.60,22050,16,1,-13.44,0.00
Sound Effect,se_00094.wav,wav,0.36,22050,16,1,-9.45,-0.44
Sound Effect,se_00095.wav,wav,0.46,22050,16,1,-12.80,-0.96
Sound Effect,se_00096.wav,wav,1.09,22050,16,1,-12.90,-0.05
Sound Effect,se_00097.wav,wav,1.23,22050,16,1,-14.95,-0.14
Sound Effect,se_00098.wav,wav,0.27,22050,16,1,-15.49,-0.41
Sound Effect,se_00099.wav,wav,0.50,22050,16,1,-6.93,0.00
Sound Effect,se_00100.wav,wav,0.38,22050,16,1,-11.08,-0.29
Sound Effect,se_00101.wav,wav,0.47,22050,16,1,-7.50,0.00
Sound Effect,se_00102.wav,wav,0.39,22050,16,1,-11.73,-0.34
Sound Effect,se_00103.wav,wav,0.37,22050,16,1,-6.85,0.00
Sound Effect,se_00104.wav,wav,0.41,22050,16,1,-4.66,-0.01
Sound Effect,se_00105.wav,wav,0.50,22050,16,1,-10.23,-0.12
Sound Effect,se_00106.wav,wav,0.40,22050,16,1,-7.10,-0.14
Sound Effect,se_00107.wav,wav,0.31,22050,16,1,-12.97,-0.12
Sound Effect,se_00108.wav,wav,0.57,22050,16,1,-13.18,-0.42
Sound Effect,se_00109.wav,wav,0.39,22050,16,1,-11.73,-0.34
Sound Effect,se_00110.wav,wav,0.37,22050,16,1,-6.85,0.00
Sound Effect,se_00111.wav,wav,0.41,22050,16,1,-4.66,-0.01
Sound Effect,se_00112.wav,wav,1.01,22050,16,1,-16.54,-0.49
Sound Effect,se_00113.wav,wav,0.40,22050,16,1,-11.21,-0.01
Sound Effect,se_00114.wav,wav,0.39,22050,16,1,-11.73,-0.34
Sound Effect,se_00115.wav,wav,0.37,22050,16,1,-6.85,0.00
Sound Effect,se_00116.wav,wav,0.41,22050,16,1,-4.66,-0.01
Sound Effect,se_00117.wav,wav,0.50,22050,16,1,-10.23,-0.12
Sound Effect,se_00118.wav,wav,0.40,22050,16,1,-7.10,-0.14
Sound Effect,se_00119.wav,wav,0.31,22050,16,1,-12.97,-0.12
Sound Effect,se_00120.wav,wav,0.50,22050,16,1,-10.23,-0.12
Sound Effect,se_00121.wav,wav,0.40,22050,16,1,-7.10,-0.14
Sound Effect,se_00122.wav,wav,0.31,22050,16,1,-12.97,-0.12
Sound Effect,se_00123.wav,wav,1.23,22050,16,1,-14.95,-0.14
Sound Effect,se_00124.wav,wav,0.27,22050,16,1,-15.49,-0.41
Sound Effect,se_00125.wav,wav,0.36,22050,16,1,-9.45,-0.44
Sound Effect,se_00126.wav,wav,0.46,22050,16,1,-12.80,-0.96
Sound Effect,se_00127.wav,wav,1.09,22050,16,1,-12.90,-0.05
Sound Effect,se_00128.wav,wav,0.60,22050,16,1,-12.17,-0.12
Sound Effect,se_00129.wav,wav,0.60,22050,16,1,-13.44,0.00
Sound Effect,se_00130.wav,wav,0.50,22050,16,1,-6.93,0.00
Sound Effect,se_00131.wav,wav,0.38,22050,16,1,-11.08,-0.29
Sound Effect,se_00132.wav,wav,0.47,22050,16,1,-7.50,0.00
Sound Effect,se_00133.wav,wav,0.61,22050,16,1,-5.58,0.00
Sound Effect,se_00134.wav,wav,0.63,22050,16,1,-6.83,0.00
Sound Effect,se_00135.wav,wav,0.50,22050,16,1,-10.23,-0.12
Sound Effect,se_00136.wav,wav,0.40,22050,16,1,-7.10,-0.14
Sound Effect,se_00137.wav,wav,0.31,22050,16,1,-12.97,-0.12
Sound Effect,se_00138.wav,wav,0.61,22050,16,1,-5.58,0.00
Sound Effect,se_00139.wav,wav,0.63,22050,16,1,-6.83,0.00
Sound Effect,se_00140.wav,wav,1.23,22050,16,1,-14.95,-0.14
Sound Effect,se_00141.wav,wav,0.27,22050,16,1,-15.49,-0.41
Sound Effect,se_00142.wav,wav,0.50,22050,16,1,-6.93,0.00
Sound Effect,se_00143.wav,wav,0.38,22050,16,1,-11.08,-0.29
Sound Effect,se_00144.wav,wav,0.47,22050,16,1,-7.50,0.00
Sound Effect,se_00145.wav,wav,0.60,22050,16,1,-12.17,-0.12
Sound Effect,se_00146.wav,wav,0.60,22050,16,1,-13.44,0.00
Sound Effect,se_00147.wav,wav,0.50,22050,16,1,-10.23,-0.12
Sound Effect,se_00148.wav,wav,0.40,22050,16,1,-7.10,-0.14
Sound Effect,se_00149.wav,wav,0.31,22050,16,1,-12.97,-0.12
Sound Effect,se_00150.wav,wav,1.23,22050,16,1,-14.95,-0.14
Sound Effect,se_00151.wav,wav,0.27,22050,16,1,-15.49,-0.41
Sound Effect,se_00152.wav,wav,0.36,22050,16,1,-9.45,-0.44
Sound Effect,se_00153.wav,wav,0.46,22050,16,1,-12.80,-0.96
Sound Effect,se_00154.wav,wav,1.09,22050,16,1,-12.90,-0.05
Sound Effect,se_00155.wav,wav,0.50,22050,16,1,-10.23,-0.12
Sound Effect,se_00156.wav,wav,0.40,22050,16,1,-7.10,-0.14
Sound Effect,se_00157.wav,wav,0.31,22050,16,1,-12.97,-0.12
Sound Effect,se_00158.wav,wav,0.61,22050,16,1,-5.58,0.00
Sound Effect,se_00159.wav,wav,0.63,22050,16,1,-6.83,0.00
Sound Effect,se_00160.wav,wav,1.23,22050,16,1,-14.95,-0.14
Sound Effect,se_00161.wav,wav,0.27,22050,16,1,-15.49,-0.41
Sound Effect,se_00162.wav,wav,0.50,22050,16,1,-6.93,0.00
Sound Effect,se_00163.wav,wav,0.38,22050,16,1,-11.08,-0.29
Sound Effect,se_00164.wav,wav,0.47,22050,16,1,-7.50,0.00
Sound Effect,se_00165.wav,wav,0.50,22050,16,1,-10.23,-0.12
Sound Effect,se_00166.wav,wav,0.40,22050,16,1,-7.10,-0.14
Sound Effect,se_00167.wav,wav,0.31,22050,16,1,-12.97,-0.12
Sound Effect,se_00168.wav,wav,1.42,22050,16,1,-11.30,-1.16
Sound Effect,se_00169.wav,wav,0.69,22050,16,1,-9.01,0.00
Sound Effect,se_00170.wav,wav,0.63,22050,16,1,-6.83,0.00
Sound Effect,se_00171.wav,wav,0.27,22050,16,1,-13.18,-0.30
Sound Effect,se_00172.wav,wav,0.55,22050,16,1,-18.49,-1.16
Sound Effect,se_00173.wav,wav,0.34,22050,16,1,-7.95,-0.11
Sound Effect,se_00174.wav,wav,0.36,22050,16,1,-12.43,-0.49
Sound Effect,se_00175.wav,wav,1.23,22050,16,1,-12.14,-0.23
Sound Effect,se_00176.wav,wav,0.39,22050,16,1,-11.73,-0.34
Sound Effect,se_00177.wav,wav,0.37,22050,16,1,-6.85,0.00
Sound Effect,se_00178.wav,wav,0.41,22050,16,1,-4.66,-0.01
Sound Effect,se_00179.wav,wav,0.57,22050,16,1,-13.18,-0.42
Sound Effect,se_00180.wav,wav,0.39,22050,16,1,-11.73,-0.34
Sound Effect,se_00181.wav,wav,0.37,22050,16,1,-6.85,0.00
Sound Effect,se_00182.wav,wav,0.41,22050,16,1,-4.66,-0.01
Sound Effect,se_00183.wav,wav,1.01,22050,16,1,-16.54,-0.49
Sound Effect,se_00184.wav,wav,0.40,22050,16,1,-11.21,-0.01
Sound Effect,se_00185.wav,wav,0.39,22050,16,1,-11.73,-0.34
Sound Effect,se_00186.wav,wav,0.37,22050,16,1,-6.85,0.00
Sound Effect,se_00187.wav,wav,0.41,22050,16,1,-4.66,-0.01
Sound Effect,se_00188.wav,wav,0.50,22050,16,1,-10.23,-0.12
Sound Effect,se_00189.wav,wav,0.40,22050,16,1,-7.10,-0.14
Sound Effect,se_00190.wav,wav,0.31,22050,16,1,-12.97,-0.12
Sound Effect,se_00191.wav,wav,1.42,22050,16,1,-11.30,-1.16
Sound Effect,se_00192.wav,wav,0.69,22050,16,1,-9.01,0.00
Sound Effect,se_00193.wav,wav,0.36,22050,16,1,-12.43,-0.49
Sound Effect,se_00194.wav,wav,1.23,22050,16,1,-12.14,-0.23
