Category,File Name,Format,Duration (s),Sample Rate,Bit Depth,Channels,Integrated,Max Momentary
Dialogue,al11203dl.wav,wav,5.38,48000,16,1,-12.73,-0.54
Dialogue,al11204Bdl_1.wav,wav,5.47,48000,16,1,-14.52,-0.48
Dialogue,al11402dl.wav,wav,1.29,48000,16,1,-12.43,-0.43
Dialogue,al11403pe.wav,wav,1.19,48000,16,1,-13.87,-0.49
Dialogue,al11404dl.wav,wav,1.33,48000,16,1,-12.77,-0.43
Dialogue,al11405pe.wav,wav,0.98,48000,16,1,-15.49,-0.47
Dialogue,al11406dl.wav,wav,1.38,48000,16,1,-13.26,-0.43
Dialogue,al11407pe.wav,wav,1.83,48000,16,1,-11.73,-0.45
Dialogue,al11408Ape.wav,wav,0.97,48000,16,1,-16.80,-0.50
Dialogue,al11408pe_1.wav,wav,1.58,48000,16,1,-14.60,-0.50
Dialogue,al11409dl.wav,wav,0.90,48000,16,1,-14.14,-0.10
Dialogue,al11410Ape_1.wav,wav,0.88,48000,16,1,-17.26,-0.54
Dialogue,al11410Bdl.wav,wav,0.80,48000,16,1,-16.16,-0.42
Dialogue,al11410sr_1.wav,wav,1.88,48000,16,1,-12.71,-0.41
Dialogue,al11411ad.wav,wav,1.18,48000,16,1,-15.31,-0.48
Dialogue,al11413go.wav,wav,1.99,48000,16,1,-10.98,-0.42
Dialogue,al11414Ado.wav,wav,0.88,48000,16,1,-14.34,-0.42
Dialogue,al11414Cia.wav,wav,0.98,48000,16,1,-14.84,-0.43
Dialogue,al11415pe.wav,wav,5.55,48000,16,1,-13.92,-0.44
Dialogue,al11416ge.wav,wav,3.97,48000,16,1,-12.85,-0.50
Dialogue,al11417ge.wav,wav,3.72,48000,16,1,-14.51,-0.47
Dialogue,al11418pe.wav,wav,1.59,48000,16,1,-12.35,-0.48
Dialogue,al11419ge.wav,wav,2.74,48000,16,1,-11.57,-0.43
Dialogue,al11420ge.wav,wav,2.89,48000,16,1,-13.31,-0.47
Dialogue,al11422ad.wav,wav,1.07,48000,16,1,-13.92,-0.52
Dialogue,al11423ge.wav,wav,2.24,48000,16,1,-13.61,-0.49
Dialogue,al11424ge.wav,wav,3.68,48000,16,1,-11.88,-0.46
Dialogue,al11425Age.wav,wav,2.66,48000,16,1,-11.97,-0.42
Dialogue,al11425Bge.wav,wav,2.17,48000,16,1,-15.24,-0.45
Dialogue,al11427ge.wav,wav,3.93,48000,16,1,-12.13,-0.42
Dialogue,al11428ad.wav,wav,1.65,48000,16,1,-11.49,-0.43
Dialogue,al11429ge.wav,wav,0.88,48000,16,1,-17.97,-0.52
Dialogue,al11430pe.wav,wav,4.99,48000,16,1,-14.03,-0.36
Dialogue,al11501pe.wav,wav,5.21,48000,16,1,-14.07,-0.43
Dialogue,al11701ad.wav,wav,1.81,48000,16,1,-11.27,-0.24
Dialogue,al11702ad.wav,wav,1.18,48000,16,1,-13.57,-0.38
Dialogue,al11703Cgo.wav,wav,2.44,48000,16,1,-10.46,-0.25
Dialogue,al11704ad.wav,wav,3.24,48000,16,1,-12.75,-0.36
Dialogue,al11705do.wav,wav,1.26,48000,16,1,-14.69,-0.15
Dialogue,al11706Ado.wav,wav,6.19,48000,16,1,-13.48,-0.28
Dialogue,al11706go.wav,wav,3.23,48000,16,1,-15.50,-0.44
Dialogue,al11708ab.wav,wav,3.47,48000,16,1,-13.15,-0.39
Dialogue,al11710Bdo.wav,wav,1.28,48000,16,1,-14.42,-0.43
Dialogue,al11710Cgo.wav,wav,1.21,48000,16,1,-10.96,-0.15
Dialogue,al11711ad.wav,wav,2.21,48000,16,1,-14.29,-0.45
Dialogue,al11712sr.wav,wav,2.16,48000,16,1,-14.63,-0.49
Dialogue,al11714sr.wav,wav,2.41,48000,16,1,-12.77,-0.33
Dialogue,al11801ia.wav,wav,1.68,48000,16,1,-11.21,-0.28
Dialogue,al11802ia.wav,wav,2.01,48000,16,1,-13.03,-0.28
Dialogue,al11804ia.wav,wav,1.19,48000,16,1,-12.97,-0.28
Dialogue,al20101ja_1.wav,wav,11.18,48000,16,1,-12.75,-0.30
Dialogue,al20102Adl_3.wav,wav,3.10,48000,16,1,-14.41,-0.47
Dialogue,al20102ia.wav,wav,4.71,48000,16,1,-10.61,-0.38
Dialogue,al20207ja.wav,wav,3.47,48000,16,1,-16.06,-0.41
Dialogue,al20210ja.wav,wav,3.27,48000,16,1,-14.76,-0.35
Dialogue,al20211ja.wav,wav,2.71,48000,16,1,-21.07,-0.43
Dialogue,al20212ja.wav,wav,3.42,48000,16,1,-17.07,-0.29
Dialogue,al20213ja.wav,wav,4.03,48000,16,1,-14.78,-0.43
